center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,orient_opacity,noise_opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,noise_2.started,surround_practice_2.started,center_practice_2.started,noise_2.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,noise_3.started,surround_grating.started,center_grating.started,noise_3.stopped,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
-2,0.0,,335,335,0,,,,,0,100,,,,,c-2,noss,0.5,period,1.043668375001289,None,None,,,,,,,,,,,0,335,335,548,719.9604820410023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719.9518200000166,719.9604820410023,720.4467086250079,720.4467086250079,720.4467086250079,720.5194177910453,720.5194177910453,720.5194177910453,721.01666212501,period,1.043668375001289,None,721.0168459160486,721.0169183750404,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-4,-15.0,,336,336,0,,,,,100,0,,,,,c-4,negs,0.75,period,1.251723708002828,None,None,,,,,,,,,,,0,336,336,352,721.0297421250143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721.0200387500226,721.0297421250143,721.7635299160029,721.7635299160029,721.7635299160029,721.8352326250169,721.8352326250169,721.8352326250169,722.2935949999955,period,1.251723708002828,None,722.2936970410519,722.2937414580374,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
8,15.0,,337,337,0,,,,,100,0,,,,,c+8,poss,0.5,period,0.9973358330316842,None,None,,,,,,,,,,,0,337,337,215,722.3001072910265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.295700290997,722.3001072910265,722.789620083,722.789620083,722.789620083,722.869138625043,722.869138625043,722.869138625043,723.3005389580503,period,0.9973358330316842,None,723.3006715000374,723.3007327910163,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-8,-15.0,,338,338,0,,,,,100,0,,,,,c-8,negs,1.25,z,1.7710465000127442,None,None,,,,,,,,,,,0,338,338,291,723.3122928750236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723.3032681660261,723.3122928750236,724.5468338330393,724.5468338330393,724.5468338330393,724.6197091659997,724.6197091659997,724.6197091659997,725.0885740410304,z,1.7710465000127442,None,725.0886778330314,725.0887232079986,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-8,-15.0,,339,339,0,,,,,100,0,,,,,c-8,negs,0.75,z,1.290233458043076,None,None,,,,,,,,,,,0,339,339,271,725.0997036250192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725.0906905830489,725.0997036250192,725.8402141660335,725.8402141660335,725.8402141660335,725.9143856250448,725.9143856250448,725.9143856250448,726.3996062910301,z,1.290233458043076,None,726.399731875048,726.3998029580107,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
0,-15.0,,340,340,0,,,,,100,0,,,,,c+0,negs,0.75,z,1.0364934999961406,None,None,,,,,,,,,,,0,340,340,438,726.4114777080249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726.4027705410263,726.4114777080249,727.1469355830341,727.1469355830341,727.1469355830341,727.2182942500222,727.2182942500222,727.2182942500222,727.4505262910388,z,1.0364934999961406,None,727.4506521660369,727.4507070830441,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-6,-15.0,,341,341,0,,,,,100,0,,,,,c-6,negs,1.0,z,1.607771374983713,None,None,,,,,,,,,,,0,341,341,318,727.4617292500334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727.4530505830189,727.4617292500334,728.4469506250462,728.4469506250462,728.4469506250462,728.5193172080326,728.5193172080326,728.5193172080326,729.0716465000296,z,1.607771374983713,None,729.0717437910498,729.0717872499954,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
2,-15.0,,342,342,0,,,,,100,0,,,,,c+2,negs,1.25,period,1.737240624963306,None,None,,,,,,,,,,,0,342,342,502,729.0827575830044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729.073746833019,729.0827575830044,730.3128271250171,730.3128271250171,730.3128271250171,730.3858929999988,730.3858929999988,730.3858929999988,730.8333152499981,period,1.737240624963306,None,730.8334887080127,730.8335437080241,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
2,0.0,,343,343,0,,,,,0,100,,,,,c+2,noss,0.75,period,1.3383081249776296,None,None,,,,,,,,,,,0,343,343,643,730.8456122080097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.8362848330289,730.8456122080097,731.5805088329944,731.5805088329944,731.5805088329944,731.6527338330052,731.6527338330052,731.6527338330052,732.1886435410124,period,1.3383081249776296,None,732.1887452910305,732.1887886250042,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
2,0.0,,344,344,0,,,,,0,100,,,,,c+2,noss,1.0,z,1.8315019579604268,None,None,,,,,,,,,,,0,344,344,655,732.1997635000153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.1907692080131,732.1997635000153,733.1901834580349,733.1901834580349,733.1901834580349,733.2644704999984,733.2644704999984,733.2644704999984,734.0341401660116,z,1.8315019579604268,None,734.0342922499985,734.0343578330358,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-6,-15.0,,345,345,0,,,,,100,0,,,,,c-6,negs,0.5,z,1.1774391250219196,None,None,,,,,,,,,,,0,345,345,294,734.0454929580446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.0367054580129,734.0454929580446,734.5310317500262,734.5310317500262,734.5310317500262,734.6020747080329,734.6020747080329,734.6020747080329,735.233076250006,z,1.1774391250219196,None,735.2332676660153,735.2333293750416,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-4,-15.0,,346,346,0,,,,,100,0,,,,,c-4,negs,1.0,z,1.8617952080094256,None,None,,,,,,,,,,,0,346,346,358,735.2408490829985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735.2343625409994,735.2408490829985,736.2305764160119,736.2305764160119,736.2305764160119,736.30291966605,736.30291966605,736.30291966605,737.1060619580094,z,1.8617952080094256,None,737.1061607500305,737.1062037910451,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
0,0.0,,347,347,0,,,,,0,100,,,,,c+0,noss,1.0,period,5.866739000019152,None,None,,,,,,,,,,,0,347,347,616,737.1169319580076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737.108166250051,737.1169319580076,738.1067991250311,738.1067991250311,738.1067991250311,738.1812226250186,738.1812226250186,738.1812226250186,742.9898509160266,period,5.866739000019152,None,742.9899867080385,742.9900442500366,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
2,-15.0,,348,348,0,,,,,100,0,,,,,c+2,negs,1.0,period,1.5516306249774061,None,None,,,,,,,,,,,0,348,348,486,743.0007355830166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742.9922623750172,743.0007355830166,743.9902842080337,743.9902842080337,743.9902842080337,744.0648869160214,744.0648869160214,744.0648869160214,744.5570519580506,period,1.5516306249774061,None,744.5571773750125,744.5572385830455,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-6,-15.0,,349,349,0,,,,,100,0,,,,,c-6,negs,0.5,z,1.430247624986805,None,None,,,,,,,,,,,0,349,349,298,744.5682398750214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.5597263330128,744.5682398750214,745.0572682500351,745.0572682500351,745.0572682500351,745.1313717500307,745.1313717500307,745.1313717500307,746.0012356660445,z,1.430247624986805,None,746.0013994160108,746.0014514159993,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
0,15.0,,350,350,0,,,,,100,0,,,,,c+0,poss,1.25,z,1.9232675000093877,None,None,,,,,,,,,,,0,350,350,82,746.0133520830423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.0041549160378,746.0133520830423,747.247757166042,747.247757166042,747.247757166042,747.3205949999974,747.3205949999974,747.3205949999974,747.9392095410149,z,1.9232675000093877,None,747.9393349160091,747.939388416009,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-2,15.0,,351,351,0,,,,,100,0,,,,,c-2,poss,0.75,z,1.3581247919937596,None,None,,,,,,,,,,,0,351,351,16,747.950219833001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747.941333958006,747.950219833001,748.6910894160392,748.6910894160392,748.6910894160392,748.7649846660206,748.7649846660206,748.7649846660206,749.3174780000118,z,1.3581247919937596,None,749.3176271660486,749.3176865830319,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-2,-15.0,,352,352,0,,,,,100,0,,,,,c-2,negs,0.5,period,1.1714207499753684,None,None,,,,,,,,,,,0,352,352,383,749.3288512910367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.3200169580523,749.3288512910367,749.8144412499969,749.8144412499969,749.8144412499969,749.886346208048,749.886346208048,749.886346208048,750.5064348750166,period,1.1714207499753684,None,750.5065375410486,750.5065875410219,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-2,0.0,,353,353,0,,,,,0,100,,,,,c-2,noss,0.5,period,1.8414790839888155,None,None,,,,,,,,,,,0,353,353,555,750.5172319160192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.5085882910062,750.5172319160192,751.0058536250144,751.0058536250144,751.0058536250144,751.0816645000014,751.0816645000014,751.0816645000014,752.3671158750076,period,1.8414790839888155,None,752.3672429160215,752.3672987080063,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
0,-15.0,,354,354,0,,,,,100,0,,,,,c+0,negs,0.5,period,1.0613490830291994,None,None,,,,,,,,,,,0,354,354,430,752.3781006660429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752.3695115830051,752.3781006660429,752.864495916001,752.864495916001,752.864495916001,752.9365157500142,752.9365157500142,752.9365157500142,753.4511922080419,period,1.0613490830291994,None,753.4513453330146,753.4514037500485,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-2,0.0,,355,355,0,,,,,0,100,,,,,c-2,noss,0.75,period,0.9622329169651493,None,None,,,,,,,,,,,0,355,355,566,753.463979791035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753.4548474160256,753.463979791035,754.1984109160258,754.1984109160258,754.1984109160258,754.2703615000355,754.2703615000355,754.2703615000355,754.4330629160395,period,0.9622329169651493,None,754.4331803750247,754.4332327500451,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-8,-15.0,,356,356,0,,,,,100,0,,,,,c-8,negs,1.0,z,3.02037924999604,None,None,,,,,,,,,,,0,356,356,274,754.4444797080359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754.4355319160386,754.4444797080359,755.4312627910404,755.4312627910404,755.4312627910404,755.5031547500403,755.5031547500403,755.5031547500403,757.4671719160397,z,3.02037924999604,None,757.4672739999951,757.4673156250501,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
6,15.0,,357,357,0,,,,,100,0,,,,,c+6,poss,0.75,z,1.5326369579997845,None,None,,,,,,,,,,,0,357,357,186,757.4776287080022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.469254333002,757.4776287080022,758.2143369580153,758.2143369580153,758.2143369580153,758.286467500031,758.286467500031,758.286467500031,759.0177323330427,z,1.5326369579997845,None,759.0178527500248,759.0179060830269,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-2,0.0,,358,358,0,,,,,0,100,,,,,c-2,noss,0.75,z,1.1967384170275182,None,None,,,,,,,,,,,0,358,358,567,759.0290050000185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759.020345958008,759.0290050000185,759.7648437080206,759.7648437080206,759.7648437080206,759.8382371250191,759.8382371250191,759.8382371250191,760.2339647909976,z,1.1967384170275182,None,760.2340924580349,760.2341472910484,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-6,-15.0,,359,359,0,,,,,100,0,,,,,c-6,negs,1.0,period,1.4704579579993151,None,None,,,,,,,,,,,0,359,359,321,760.245427625021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760.2364230410312,760.245427625021,761.2314563330146,761.2314563330146,761.2314563330146,761.3038833750179,761.3038833750179,761.3038833750179,761.7191295830416,period,1.4704579579993151,None,761.7192634160165,761.7193166250363,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
0,-15.0,,360,360,0,,,,,100,0,,,,,c+0,negs,0.75,z,1.2027102090069093,None,None,,,,,,,,,,,0,360,360,431,761.7300742500229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761.7213787910296,761.7300742500229,762.4649274160038,762.4649274160038,762.4649274160038,762.5370608330122,762.5370608330122,762.5370608330122,762.9441325410153,z,1.2027102090069093,None,762.9442375000217,762.9442850000341,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
2,0.0,,361,361,0,,,,,0,100,,,,,c+2,noss,1.25,period,0.21587804198497906,None,None,,,,,,,,,,,0,361,361,665,762.9509625830106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.946289458021,762.9509625830106,,,,,,,763.1729199160472,period,0.21587804198497906,None,763.1730417910148,763.173101833032,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-2,15.0,,362,362,0,,,,,100,0,,,,,c-2,poss,1.25,z,1.8980953330174088,None,None,,,,,,,,,,,0,362,362,35,763.183984125033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763.1751478750375,763.183984125033,764.4241507080151,764.4241507080151,764.4241507080151,764.497638291039,764.497638291039,764.497638291039,765.0851797910291,z,1.8980953330174088,None,765.0853334999993,765.0854122500168,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
0,15.0,,363,363,0,,,,,100,0,,,,,c+0,poss,0.5,z,1.068230374949053,None,None,,,,,,,,,,,0,363,363,51,765.0975317080156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.0887145830202,765.0975317080156,765.5814728750265,765.5814728750265,765.5814728750265,765.6530779580353,765.6530779580353,765.6530779580353,766.1687062080018,z,1.068230374949053,None,766.1688671660377,766.1689262500149,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-6,-15.0,,364,364,0,,,,,100,0,,,,,c-6,negs,1.0,period,3.3055767500190996,None,None,,,,,,,,,,,0,364,364,324,766.1800907910219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766.171158125042,766.1800907910219,767.1649290830246,767.1649290830246,767.1649290830246,767.2368890000507,767.2368890000507,767.2368890000507,769.4900640830165,period,3.3055767500190996,None,769.4901708330144,769.4902144160005,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-6,-15.0,,365,365,0,,,,,100,0,,,,,c-6,negs,1.25,period,1.9722386669600382,None,None,,,,,,,,,,,0,365,365,329,769.5065660830005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769.492214833037,769.5065660830005,770.7409355000127,770.7409355000127,770.7409355000127,770.8156378330314,770.8156378330314,770.8156378330314,771.4843587500509,period,1.9722386669600382,None,771.4844897500006,771.4845453750459,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
0,-15.0,,366,366,0,,,,,100,0,,,,,c+0,negs,0.5,period,0.9339900410268456,None,None,,,,,,,,,,,0,366,366,429,771.4955697910045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.4866159580415,771.4955697910045,771.9819558330346,771.9819558330346,771.9819558330346,772.0537721250439,772.0537721250439,772.0537721250439,772.4352375830058,period,0.9339900410268456,None,772.4354071250418,772.4354633750045,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-2,-15.0,,367,367,0,,,,,100,0,,,,,c-2,negs,0.5,period,0.771049959002994,None,None,,,,,,,,,,,0,367,367,386,772.4478272499982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772.4388224160066,772.4478272499982,772.9319442910491,772.9319442910491,772.9319442910491,773.004158249998,773.004158249998,773.004158249998,773.2246241249959,period,0.771049959002994,None,773.2247487910208,773.2248028330505,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-4,0.0,,368,368,0,,,,,0,100,,,,,c-4,noss,1.25,z,1.82570400001714,None,None,,,,,,,,,,,0,368,368,539,773.235425040999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773.2271400000318,773.235425040999,774.4754105409957,774.4754105409957,774.4754105409957,774.5490696660127,774.5490696660127,774.5490696660127,775.0680380410049,z,1.82570400001714,None,775.0681695000385,775.0682233750122,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
0,-15.0,,369,369,0,,,,,100,0,,,,,c+0,negs,0.5,z,0.9394649159512483,None,None,,,,,,,,,,,0,369,369,420,775.0792503750417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775.0706283750478,775.0792503750417,775.565279375005,775.565279375005,775.565279375005,775.6374181249994,775.6374181249994,775.6374181249994,776.0253533330397,z,0.9394649159512483,None,776.0255245410372,776.0255939580384,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-6,-15.0,,370,370,0,,,,,100,0,,,,,c-6,negs,0.5,z,1.1256469580112025,None,None,,,,,,,,,,,0,370,370,296,776.0368890410173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.0286560410168,776.0368890410173,776.5251841660356,776.5251841660356,776.5251841660356,776.599020624999,776.599020624999,776.599020624999,777.1681271660491,z,1.1256469580112025,None,777.1683349160012,777.1684297080501,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
6,15.0,,371,371,0,,,,,100,0,,,,,c+6,poss,0.75,period,1.4714090840425342,None,None,,,,,,,,,,,0,371,371,181,777.1800106250448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777.1708829160198,777.1800106250448,777.9153829580173,777.9153829580173,777.9153829580173,777.9885756250005,777.9885756250005,777.9885756250005,778.6564279580489,period,1.4714090840425342,None,778.6565307080164,778.6565750830341,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
0,15.0,,372,372,0,,,,,100,0,,,,,c+0,poss,1.25,period,1.7332218749797903,None,None,,,,,,,,,,,0,372,372,77,778.6678153329995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.6585202910355,778.6678153329995,779.908344416006,779.908344416006,779.908344416006,779.982630708022,779.982630708022,779.982630708022,780.408799833036,period,1.7332218749797903,None,780.408948041033,780.409007875016,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-2,15.0,,373,373,0,,,,,100,0,,,,,c-2,poss,1.25,z,1.7346748749841936,None,None,,,,,,,,,,,0,373,373,32,780.4193868330331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780.4111838749959,780.4193868330331,781.6585524160182,781.6585524160182,781.6585524160182,781.7324860829976,781.7324860829976,781.7324860829976,782.1580885410076,z,1.7346748749841936,None,782.1581912499969,782.1582337910077,None,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
